"","Comp.1","Comp.2"
"1",-25.8166699253345,0.0587811517261145
"2",-4.53528486150202,-0.341470660389239
"3",-11.3156677465046,-0.270014008882366
"4",-3.21068501435356,0.0111557207046201
"5",-5.0638204497618,1.4567684422636
"6",1.49651440184715,0.417943321531508
"7",-5.72571264294848,-0.107531462005941
"8",-3.99903141004086,0.130412217536517
"9",-7.86821442606157,0.332701889780394
"10",-22.4969804716654,-0.0266381671387941
"11",-25.3925598990184,0.325381506097632
"12",-5.38035327840394,-0.241396734507072
"13",4.61890368837032,0.0602938144784862
"14",-9.22901831236398,-0.571011690254586
"15",-0.921591358075133,-0.482054652170512
"16",0.507323731013965,-0.661498618567939
"17",-4.40116606048903,-0.922856209387536
"18",-2.68264263292739,-0.631244333394938
"19",0.570755404387656,-0.931831261807275
"20",-4.30095254696831,-0.849505752558855
"21",4.01817211867331,-0.461590957302798
"22",3.38093280000929,-0.625974880409396
"23",-9.44375588057681,-0.504923961968243
"24",4.924744596026,-0.439796021613213
"25",0.211509362458776,-0.461387368035984
"26",5.43248721835322,-0.595170905450662
"27",15.7748016948421,0.235406370535589
"28",9.86294161519314,0.281029733592286
"29",4.84103284705318,-0.00664509604507191
"30",16.9352022437668,0.627968512391932
"31",15.38561494179,0.398799961040899
"32",15.9154939123913,-0.0540478446979353
"33",6.07568969829425,-0.142015213964484
"34",17.4964159490634,-0.270202982895167
"35",18.1578592131468,-0.0406682418251119
"36",14.4333042512995,-0.309846939636895
"37",10.2433710130956,0.143199520436482
"38",8.88997782952691,1.10462273745946
"39",-6.95298773309226,0.734917134959662
"40",-3.60804629538564,1.41522866590396
"41",-11.9646241713643,1.11035459129203
"42",-7.21302641855988,-0.616143298137298
"43",-0.374403449788746,-0.0639216565999122
"44",-4.89925622440128,-0.586486884219203
"45",-2.27861217796407,-0.634593100696178
"46",-6.03282747239254,-0.215824209355957
"47",0.709301187240836,-0.836036492208698
"48",-6.49925162830481,-0.569253747396041
"49",-2.51104224305683,-0.675264451549648
"50",-5.11184802619327,-0.189145352324907
"51",-0.380109040906376,-0.896652307273699
"52",-5.53745197616752,-0.58170893378036
"53",-3.8441839713202,-0.641215633401906
"54",2.03250120361196,-0.512977815263304
"55",-6.45440041368843,-0.871570378777225
"56",-1.60496590107873,-0.586140829381055
"57",-16.9217899016958,-0.188355462712539
"58",-7.93628974895588,-0.686328645777115
"59",-1.96335413875828,-0.732068650402023
"60",0.808597881347116,-0.740756411294746
"61",-0.976281464052622,-0.624912867153506
"62",11.6015374099909,-0.744571609442071
"63",14.8330765111009,0.00344335642190075
"64",-2.07640022629776,-0.263231283167598
"65",7.64336513985788,-0.274228418324191
"66",10.0636817425246,-0.389781790840737
"67",7.01242652931842,-0.336690907512104
"68",8.50826821464486,-0.0614722410402057
"69",-3.22052847272637,-0.537646174930965
"70",-4.42991316758512,-0.209893035148972
"71",-3.94587846961062,-0.434519509319512
"72",21.2049549238848,0.240649365126729
"73",8.21834820070396,-0.335363350553759
"74",22.5932645979825,0.114622650894012
"75",5.85953190686591,-0.175330952794048
"76",9.19253887683644,-0.635150834161028
"77",10.7385531089004,-0.186378916180486
"78",-36.2967771763357,4.01957876568047
