date,code,value
2020-03-14,CZ052,8
2020-03-14,CZ072,16
2020-03-14,CZ063,2
2020-03-14,CZ071,22
2020-03-14,CZ031,4
2020-03-14,CZ032,5
2020-03-14,CZ041,1
2020-03-14,CZ053,4
2020-03-14,CZ064,11
2020-03-14,CZ051,3
2020-03-14,CZ080,8
2020-03-15,CZ010,112
2020-03-15,CZ042,20
2020-03-15,CZ020,32
2020-03-15,CZ052,8
2020-03-15,CZ072,21
2020-03-15,CZ063,6
2020-03-15,CZ071,32
2020-03-15,CZ031,9
2020-03-15,CZ032,8
2020-03-15,CZ041,9
2020-03-15,CZ053,7
2020-03-15,CZ064,19
2020-03-15,CZ051,3
2020-03-15,CZ080,12
2020-03-16,CZ010,139
2020-03-16,CZ042,23
2020-03-16,CZ020,51
2020-03-16,CZ052,10
2020-03-16,CZ072,22
2020-03-16,CZ063,6
2020-03-16,CZ071,38
2020-03-16,CZ031,11
2020-03-16,CZ032,11
2020-03-16,CZ041,17
2020-03-16,CZ053,9
2020-03-16,CZ064,26
2020-03-16,CZ051,3
2020-03-16,CZ080,21
2020-03-17,CZ010,170
2020-03-17,CZ042,26
2020-03-17,CZ020,60
2020-03-17,CZ052,14
2020-03-17,CZ072,25
2020-03-17,CZ063,9
2020-03-17,CZ071,39
2020-03-17,CZ031,16
2020-03-17,CZ032,11
2020-03-17,CZ041,19
2020-03-17,CZ053,14
2020-03-17,CZ064,34
2020-03-17,CZ051,4
2020-03-17,CZ080,35
2020-03-18,CZ010,187
2020-03-18,CZ042,26
2020-03-18,CZ020,78
2020-03-18,CZ052,14
2020-03-18,CZ072,40
2020-03-18,CZ063,9
2020-03-18,CZ071,55
2020-03-18,CZ031,19
2020-03-18,CZ032,16
2020-03-18,CZ041,21
2020-03-18,CZ053,15
2020-03-18,CZ064,39
2020-03-18,CZ051,5
2020-03-18,CZ080,49
2020-03-19,CZ010,216
2020-03-19,CZ042,32
2020-03-19,CZ020,105
2020-03-19,CZ052,14
2020-03-19,CZ072,45
2020-03-19,CZ063,10
2020-03-19,CZ071,57
2020-03-19,CZ031,19
2020-03-19,CZ032,18
2020-03-19,CZ041,27
2020-03-19,CZ053,18
2020-03-19,CZ064,51
2020-03-19,CZ051,6
2020-03-19,CZ080,63
2020-03-20,CZ010,238
2020-03-20,CZ042,35
2020-03-20,CZ020,124
2020-03-20,CZ052,15
2020-03-20,CZ072,47
2020-03-20,CZ063,11
2020-03-20,CZ071,66
2020-03-20,CZ031,29
2020-03-20,CZ032,19
2020-03-20,CZ041,29
2020-03-20,CZ053,21
2020-03-20,CZ064,59
2020-03-20,CZ051,9
2020-03-20,CZ080,85
2020-03-21,CZ010,268
2020-03-21,CZ042,38
2020-03-21,CZ020,128
2020-03-21,CZ052,17
2020-03-21,CZ072,53
2020-03-21,CZ063,12
2020-03-21,CZ071,76
2020-03-21,CZ031,30
2020-03-21,CZ032,19
2020-03-21,CZ041,38
2020-03-21,CZ053,27
2020-03-21,CZ064,73
2020-03-21,CZ051,9
2020-03-21,CZ080,103
2020-03-22,CZ010,286
2020-03-22,CZ042,40
2020-03-22,CZ020,132
2020-03-22,CZ052,18
2020-03-22,CZ072,63
2020-03-22,CZ063,15
2020-03-22,CZ071,98
2020-03-22,CZ031,30
2020-03-22,CZ032,21
2020-03-22,CZ041,40
2020-03-22,CZ053,28
2020-03-22,CZ064,82
2020-03-22,CZ051,11
2020-03-22,CZ080,114
2020-03-23,CZ010,307
2020-03-23,CZ042,45
2020-03-23,CZ020,173
2020-03-23,CZ052,19
2020-03-23,CZ072,68
2020-03-23,CZ063,24
2020-03-23,CZ071,100
2020-03-23,CZ031,32
2020-03-23,CZ032,22
2020-03-23,CZ041,43
2020-03-23,CZ053,35
2020-03-23,CZ064,88
2020-03-23,CZ051,13
2020-03-23,CZ080,139
2020-03-24,CZ010,370
2020-03-24,CZ042,51
2020-03-24,CZ020,196
2020-03-24,CZ052,32
2020-03-24,CZ072,75
2020-03-24,CZ063,27
2020-03-24,CZ071,126
2020-03-24,CZ031,35
2020-03-24,CZ032,26
2020-03-24,CZ041,49
2020-03-24,CZ053,42
2020-03-24,CZ064,96
2020-03-24,CZ051,18
2020-03-24,CZ080,162
2020-03-25,CZ010,416
2020-03-25,CZ042,65
2020-03-25,CZ020,210
2020-03-25,CZ052,41
2020-03-25,CZ072,88
2020-03-25,CZ063,42
2020-03-25,CZ071,141
2020-03-25,CZ031,53
2020-03-25,CZ032,32
2020-03-25,CZ041,59
2020-03-25,CZ053,49
2020-03-25,CZ064,104
2020-03-25,CZ051,21
2020-03-25,CZ080,181
2020-03-26,CZ010,467
2020-03-26,CZ042,70
2020-03-26,CZ020,240
2020-03-26,CZ052,48
2020-03-26,CZ072,92
2020-03-26,CZ063,46
2020-03-26,CZ071,169
2020-03-26,CZ031,66
2020-03-26,CZ032,33
2020-03-26,CZ041,66
2020-03-26,CZ053,56
2020-03-26,CZ064,116
2020-03-26,CZ051,34
2020-03-26,CZ080,208
2020-03-27,CZ010,500
2020-03-27,CZ042,85
2020-03-27,CZ020,268
