,name,dim1,dim2,size,id,parent_id,region,level
0,Praha 1,-33.361710053447,0.499745746701077,14171,500054,,Hlavní město Praha,
1,Praha 2,-32.5644684179828,0.871553091521239,20876,500089,,Hlavní město Praha,
2,Praha 3,-29.0419311077887,0.610356290615922,32804,500097,,Hlavní město Praha,
3,Praha 4,-25.6939915639233,0.081902232578285,64802,500119,,Hlavní město Praha,
4,Praha 5,-29.9237655571219,0.436880690712577,40423,500143,,Hlavní město Praha,
5,Praha 6,-30.2223904266266,0.603337507071861,54374,500178,,Hlavní město Praha,
6,Praha 7,-32.7367918670865,1.32337562596,20809,500186,,Hlavní město Praha,
7,Praha 8,-23.0888733429365,0.0321883793525837,51026,500208,,Hlavní město Praha,
8,Praha 9,-24.9670867947546,-0.137350086062131,26465,500216,,Hlavní město Praha,
9,Praha 10,-25.7212795385861,0.113348042760517,54213,500224,,Hlavní město Praha,
10,Ústí nad Labem-Severní Terasa,15.2826064133459,0.0031274269133534,9230,501298,,Ústecký kraj,
11,Ústí nad Labem-Neštěmice,21.6545903990073,0.634396365193584,8020,502081,,Ústecký kraj,
12,Ústí nad Labem-Střekov,10.4706992850743,0.0738575116915565,6527,502316,,Ústecký kraj,
13,Praha-Běchovice,-23.601937044649,-1.00527295991418,1110,538060,,Hlavní město Praha,
14,Praha-Benice,-25.7666456607415,-0.514413489698712,391,538078,,Hlavní město Praha,
15,Praha-Březiněves,-24.7284569366592,-0.650188269470646,854,538124,,Hlavní město Praha,
16,Praha-Dolní Počernice,-27.2133714960911,-0.623964963996522,1470,538175,,Hlavní město Praha,
17,Praha-Dubeč,-22.7025357904472,-0.821677958669924,2080,538205,,Hlavní město Praha,
18,Praha 20,-18.8615713878734,-0.637071493612496,7855,538213,,Hlavní město Praha,
19,Praha-Klánovice,-27.4252179631059,-0.508641010928427,1961,538302,,Hlavní město Praha,
20,Praha-Koloděje,-23.813004534281,-0.698557952752831,873,538353,,Hlavní město Praha,
21,Praha-Kolovraty,-30.6538968307322,0.479549190544568,2153,538361,,Hlavní město Praha,
22,Praha-Královice,-13.1580017407458,-1.40615870309973,213,538388,,Hlavní město Praha,
23,Praha-Křeslice,-28.2833939259621,-0.236563746955404,673,538400,,Hlavní město Praha,
24,Praha-Nedvězí,-22.8310910804961,-0.741431365168982,181,538531,,Hlavní město Praha,
25,Praha-Satalice,-25.8218282695219,0.0065431246015355,1278,538736,,Hlavní město Praha,
26,Praha 22,-27.9064003234639,-0.225269161307845,5874,538931,,Hlavní město Praha,
27,Praha 21,-24.0834813906883,-0.690771850554497,5666,538949,,Hlavní město Praha,
28,Praha-Vinoř,-24.0214067430475,0.156382593481584,2296,539007,,Hlavní město Praha,
29,Praha-Lipence,-27.0460942753295,-0.775947572032061,1582,539449,,Hlavní město Praha,
30,Praha-Lochkov,-23.9599595251106,-0.831224131099736,454,539465,,Hlavní město Praha,
31,Praha-Přední Kopanina,-26.119026055735,-0.385182859163547,341,539589,,Hlavní město Praha,
32,Praha 16,-26.6384764576269,-0.0850470891253043,4532,539601,,Hlavní město Praha,
33,Praha-Řeporyje,-28.7906374669515,-0.3943223447217,2500,539635,,Hlavní město Praha,
34,Praha-Slivenec,-29.4100850016774,0.163102515330604,1964,539678,,Hlavní město Praha,
35,Praha 13,-25.0079138320786,0.062952305724937,28374,539694,,Hlavní město Praha,
36,Praha-Šeberov,-24.0768499780596,-1.03721786189877,1690,539724,,Hlavní město Praha,
37,Praha-Újezd,-28.4842629322455,-0.447730133378405,1729,539791,,Hlavní město Praha,
38,Praha-Zbraslav,-27.2678135495027,-0.121058225306291,5394,539864,,Hlavní město Praha,
39,Praha-Zličín,-25.5332847041582,-0.221886762308093,3249,539899,,Hlavní město Praha,
40,Moravská Ostrava a Přívoz,4.8560316553928,0.184180132010653,15368,545911,,Moravskoslezský kraj,
41,Plzeň 1,-4.6829881861505,-0.385361717672613,24336,545970,,Plzeňský kraj,
42,Plzeň 2-Slovany,-14.3807307376324,-0.437368956874537,16662,545988,,Plzeňský kraj,
43,Plzeň 3,-9.80812176274086,-0.341861218153194,22560,546003,,Plzeňský kraj,
44,Slezská Ostrava,9.87926319610285,-0.448169828674756,8562,546046,,Moravskoslezský kraj,
45,Ostrava-Jih,17.5010783423043,0.228225516559308,43548,546135,,Moravskoslezský kraj,
46,Plzeň 4,-8.11962328228667,-0.769732818456733,12396,546208,,Plzeňský kraj,
47,Poruba,11.4405517538403,-0.222852961632084,29505,546224,,Moravskoslezský kraj,
48,Praha 11,-15.007569962467,-0.622869066177627,37932,547034,,Hlavní město Praha,
49,Praha-Kunratice,-27.3019068115468,-0.384921809139172,4537,547042,,Hlavní město Praha,
50,Praha-Libuš,-23.3779005817368,-0.322191911196338,4338,547051,,Hlavní město Praha,
51,Praha 12,-18.8911227444577,-0.557662760408287,29107,547107,,Hlavní město Praha,
52,Praha-Velká Chuchle,-29.6349366642071,-0.374388883592607,1358,547115,,Hlavní město Praha,
53,Praha-Lysolaje,-29.5528514659531,0.692678533209086,708,547140,,Hlavní město Praha,
54,Praha-Nebušice,-25.4479002675384,0.0397934896693077,1265,547158,,Hlavní město Praha,
55,Praha 17,-17.3681448231647,-0.518022727967412,11599,547174,,Hlavní město Praha,
56,Praha-Suchdol,-28.3619022517304,0.329139193441456,3394,547271,,Hlavní město Praha,
57,Praha-Ďáblice,-27.1483542734582,-0.232156270982701,1931,547298,,Hlavní město Praha,
58,Praha-Dolní Chabry,-30.7111258555891,-0.0913316413354375,2495,547301,,Hlavní město Praha,
59,Praha-Čakovice,-22.9586068537217,-0.518264163305362,5508,547310,,Hlavní město Praha,
60,Praha-Troja,-31.9076188342856,-0.153499941361829,743,547328,,Hlavní město Praha,
61,Praha 19,-24.3756920945285,-0.114515426228119,3617,547344,,Hlavní město Praha,
62,Praha 14,-20.9566272433212,-0.447178454982241,20585,547361,,Hlavní město Praha,
63,Praha-Dolní Měcholupy,-27.6261973369289,-0.447368582064503,1587,547379,,Hlavní město Praha,
64,Praha 15,-20.8705953605748,-0.433818464072749,16745,547387,,Hlavní město Praha,
65,Praha-Petrovice,-21.7157448661623,0.190595262881149,3056,547395,,Hlavní město Praha,
66,Praha-Štěrboholy,-26.0863739658974,-0.920706526470205,1097,547409,,Hlavní město Praha,
67,Praha 18,-20.5504368255369,-0.242151661315007,9097,547417,,Hlavní město Praha,
68,Brno-střed,-25.5742373344816,0.79301663207979,29538,550973,,Jihomoravský kraj,
69,Brno-Žabovřesky,-22.0914971361185,-0.279582580513625,12156,550990,,Jihomoravský kraj,
70,Brno-Královo Pole,-20.4203861579282,0.0425637821938429,13551,551007,,Jihomoravský kraj,
71,Brno-sever,-19.3596422177821,-0.0646536879905975,22408,551031,,Jihomoravský kraj,
72,Brno-Židenice,-15.7402078427349,-0.154016186740095,10168,551058,,Jihomoravský kraj,
73,Brno-Černovice,-14.4771422821751,-0.309825170355694,3693,551066,,Jihomoravský kraj,
74,Brno-jih,-9.70226295559232,-0.260310872955374,4029,551074,,Jihomoravský kraj,
75,Brno-Bohunice,-7.8526778064607,-0.599290821741742,7390,551082,,Jihomoravský kraj,
76,Brno-Starý Lískovec,-2.08324263536269,-0.913872778998144,6537,551091,,Jihomoravský kraj,
77,Brno-Nový Lískovec,-12.9938163620763,-0.234836124529482,5619,551112,,Jihomoravský kraj,
78,Brno-Kohoutovice,-8.0007999908311,-0.825788976765098,6824,551147,,Jihomoravský kraj,
79,Brno-Jundrov,-18.5332017784197,-0.391755980761044,2520,551171,,Jihomoravský kraj,
80,Brno-Bystrc,-12.6837074875763,-0.346704990999979,12914,551198,,Jihomoravský kraj,
81,Brno-Kníničky,-20.3068782430755,-0.942211455995174,641,551210,,Jihomoravský kraj,
82,Brno-Komín,-17.4695530533327,-0.916171700218993,4369,551228,,Jihomoravský kraj,
83,Brno-Medlánky,-23.4152647368617,-0.0487654448061288,3052,551236,,Jihomoravský kraj,
84,Brno-Řečkovice a Mokrá Hora,-15.8094995565272,-0.658374559735014,8203,551244,,Jihomoravský kraj,
85,Brno-Maloměřice a Obřany,-17.4129281343939,-0.0658940790826588,3040,551252,,Jihomoravský kraj,
86,Brno-Vinohrady,-6.85322124628095,0.13599050167128,6652,551279,,Jihomoravský kraj,
87,Brno-Líšeň,-10.6882542063581,-0.385851271402926,13621,551287,,Jihomoravský kraj,
88,Brno-Slatina,-11.0328907960932,-0.409930126890579,5048,551295,,Jihomoravský kraj,
89,Brno-Tuřany,-12.331405554266,-0.649043962282923,3007,551309,,Jihomoravský kraj,
90,Brno-Chrlice,-11.6224815724009,-0.699278193399526,1757,551317,,Jihomoravský kraj,
91,Brno-Bosonohy,-18.2832594349206,-0.764550247757221,1359,551325,,Jihomoravský kraj,
92,Brno-Žebětín,-21.8310520473534,-0.423424456937371,2938,551368,,Jihomoravský kraj,
93,Brno-Ivanovice,-21.6185142822426,-0.824030194483198,1130,551376,,Jihomoravský kraj,
94,Brno-Jehnice,-23.4258673803919,-0.532767228797193,674,551406,,Jihomoravský kraj,
95,Brno-Ořešín,-18.7836232457361,-0.542319486622769,348,551422,,Jihomoravský kraj,
96,Brno-Útěchov,-20.9266717214231,-1.01901814523821,541,551431,,Jihomoravský kraj,
97,Nová Bělá,-4.40899889207014,-1.03487441737076,1294,554219,,Moravskoslezský kraj,
98,Vítkovice,18.3834487730941,0.920422081900901,2183,554227,,Moravskoslezský kraj,
99,Stará Bělá,-4.36101846704523,-1.33644106733584,2451,554235,,Moravskoslezský kraj,
100,Pustkovec,-5.06042199375337,-1.63957944879028,767,554243,,Moravskoslezský kraj,
101,Mariánské Hory a Hulváky,13.684072730285,-0.0018243998762319,4788,554286,,Moravskoslezský kraj,
102,Petřkovice,3.80840535688339,-0.7011581300436,1668,554308,,Moravskoslezský kraj,
103,Lhotka,0.464035633223845,-1.18983795408086,752,554324,,Moravskoslezský kraj,
104,Hošťálkovice,11.2041440433674,-0.0675474161482559,999,554332,,Moravskoslezský kraj,
105,Nová Ves,12.1198285748232,1.16244913142621,325,554367,,Moravskoslezský kraj,
106,Proskovice,-0.161725275675324,-0.559419868395877,722,554375,,Moravskoslezský kraj,
107,Michálkovice,15.9022219441419,0.638533639221754,1498,554430,,Moravskoslezský kraj,
108,Radvanice a Bartovice,18.9906468740016,-0.209150207592043,3170,554537,,Moravskoslezský kraj,
109,Krásné Pole,-3.36314355428419,-0.898956775906057,1578,554561,,Moravskoslezský kraj,
110,Martinov,11.3989754310885,-1.03016982885776,667,554570,,Moravskoslezský kraj,
111,Polanka nad Odrou,1.65436576354052,-0.162599552424541,2823,554588,,Moravskoslezský kraj,
112,Hrabová,5.33210203970994,-0.70016189461369,2094,554669,,Moravskoslezský kraj,
113,Svinov,4.30651109593489,-0.701455929737653,2448,554685,,Moravskoslezský kraj,
114,Třebovice,-4.1992283317732,-1.09904826572884,1109,554715,,Moravskoslezský kraj,
115,Plesná,-5.06255449334035,-0.742100992319372,891,554723,,Moravskoslezský kraj,
116,Plzeň 5-Křimice,-11.4293847160211,-0.727121935674033,1122,554731,,Plzeňský kraj,
117,Plzeň 6-Litice,-14.8859167163279,-0.480987987430938,1168,554758,,Plzeňský kraj,
118,Plzeň 7-Radčice,-8.64753548100535,-0.415541604546781,594,554766,,Plzeňský kraj,
119,Plzeň 8-Černice,-21.2190925110144,-0.53899776439572,1080,554774,,Plzeňský kraj,
120,Pardubice IV,-10.6287800250403,-0.93853581508423,3042,555096,,Pardubický kraj,
121,Pardubice VI,-9.43337471150788,-0.680296773609739,3334,555100,,Pardubický kraj,
122,Pardubice VII,-12.3276169786526,-0.922052116560657,3543,555118,,Pardubický kraj,
123,Pardubice II,-3.8848075541806,-0.710332022998348,8780,555126,,Pardubický kraj,
124,Opava (nečleněná část města),2.99359363899412,-0.320274632177179,23882,555321,,Moravskoslezský kraj,
125,Malé Hoštice,4.76002095617028,-1.42344528057809,973,555339,,Moravskoslezský kraj,
126,Komárov,9.63739611330147,-1.08972836011684,708,555355,,Moravskoslezský kraj,
127,Suché Lazce,11.3660255952184,-0.352707074064531,604,555371,,Moravskoslezský kraj,
128,Podvihov,11.6165106052175,-0.80860800476308,439,555401,,Moravskoslezský kraj,
129,Zlatníky,6.68529374641169,-1.10033081996798,226,555410,,Moravskoslezský kraj,
130,Milostovice,14.3424125023683,-0.343112200000055,189,555436,,Moravskoslezský kraj,
131,Vlaštovičky,19.4096770708571,-0.975369709788464,218,555461,,Moravskoslezský kraj,
132,Vávrovice,1.44798792951075,-0.78833557986912,712,556700,,Moravskoslezský kraj,
133,Liberec-Vratislavice nad Nisou,-10.0630240087172,1.46372816148567,4435,556891,,Liberecký kraj,
134,Liberec (nečleněné město),-8.56464907417353,1.34828047646123,46387,556904,,Liberecký kraj,
135,Pardubice III,-7.49324480262472,-0.805120629550501,8110,557064,,Pardubický kraj,
136,Pardubice V,-12.4133038192699,-0.490206500164972,7905,557072,,Pardubický kraj,
137,Plzeň 10-Lhota,-20.9173042371652,-0.350417958178515,923,557978,,Plzeňský kraj,
138,Plzeň 9-Malesice,-14.9201592445428,-0.272026215764192,484,559199,,Plzeňský kraj,
139,Ústí nad Labem-město,-0.932926142471691,0.356501866929437,15924,567892,,Ústecký kraj,
140,Pardubice I,-13.9723793653677,-0.578044674792061,9852,574716,,Pardubický kraj,
141,Pardubice VIII,10.7202635999438,-0.595422232529697,133,575020,,Pardubický kraj,
